root	requirement	status
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	claude-agent-sdk>=0.1.0	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	python-dotenv>=1.0.0	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	requests>=2.31.0	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	pymupdf>=1.24.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	numpy==1.26.4	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	pandas==2.3.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	PyYAML==6.0.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	pyro-ppl==1.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	scikit-learn==1.8.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	scipy==1.16.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	statsmodels==0.14.6	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	torch==2.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	pytorch-lightning==2.6.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	imageio==2.34.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	imageio-ffmpeg==0.4.9	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	matplotlib==3.10.8	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	numpy==1.26.4	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	pandas==2.3.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	PyYAML==6.0.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	pyro-ppl==1.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	scikit-learn==1.8.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	scipy==1.16.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	statsmodels==0.14.6	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	torch==2.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	pytorch-lightning==2.6.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	imageio==2.34.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	imageio-ffmpeg==0.4.9	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	matplotlib==3.10.8	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	numpy==1.26.4	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	pandas==2.3.3	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	PyYAML==6.0.1	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	pyro-ppl==1.9.1	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	scikit-learn==1.8.0	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	scipy==1.16.3	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	statsmodels==0.14.6	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	torch==2.9.1	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	pytorch-lightning==2.6.0	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	imageio==2.34.1	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	imageio-ffmpeg==0.4.9	satisfied
/Users/renatosocodato/cdc42_2p_fvsm_velocities	matplotlib==3.10.8	satisfied
/Users/renatosocodato/cyto_kb	pandas	satisfied
/Users/renatosocodato/cyto_kb	requests	satisfied
/Users/renatosocodato/external data_cathalog	pandas>=2.0	satisfied
/Users/renatosocodato/external data_cathalog	pyyaml>=6.0	satisfied
/Users/renatosocodato/external data_cathalog	requests>=2.28	satisfied
/Users/renatosocodato/thermocausality_mtce	numpy>=1.24	missing
/Users/renatosocodato/thermocausality_mtce	scipy>=1.11	missing
/Users/renatosocodato/thermocausality_mtce	pandas>=2.0	missing
/Users/renatosocodato/thermocausality_mtce	jax>=0.4.0	missing
/Users/renatosocodato/thermocausality_mtce	jaxlib>=0.4.0	missing
/Users/renatosocodato/thermocausality_mtce	torch>=2.0	missing
/Users/renatosocodato/thermocausality_mtce	torchvision	missing
/Users/renatosocodato/thermocausality_mtce	torchaudio	missing
/Users/renatosocodato/thermocausality_mtce	scikit-learn>=1.3	missing
/Users/renatosocodato/thermocausality_mtce	matplotlib>=3.7	missing
/Users/renatosocodato/thermocausality_mtce	seaborn>=0.12	missing
/Users/renatosocodato/thermocausality_mtce	plotly>=5.14	missing
/Users/renatosocodato/thermocausality_mtce	sympy>=1.12	missing
/Users/renatosocodato/thermocausality_mtce	h5py	missing
/Users/renatosocodato/thermocausality_mtce	netCDF4	missing
/Users/renatosocodato/thermocausality_mtce	xarray	missing
/Users/renatosocodato/thermocausality_mtce	sqlalchemy	missing
/Users/renatosocodato/thermocausality_mtce	pytest	missing
/Users/renatosocodato/thermocausality_mtce	black	missing
/Users/renatosocodato/thermocausality_mtce	flake8	missing
/Users/renatosocodato/thermocausality_mtce	mypy	missing
/Users/renatosocodato/thermocausality_mtce	sphinx	missing
/Users/renatosocodato/thermocausality_mtce	sphinx-rtd-theme	missing
/Users/renatosocodato/thermocausality_mtce	deepxde>=1.9	missing
/Users/renatosocodato/thermocausality_mtce	gpytorch>=1.11	missing
/Users/renatosocodato/thermocausality_mtce	sbi>=0.22	missing
/Users/renatosocodato/thermocausality_mtce	geomstats>=2.6	missing
/Users/renatosocodato/thermocausality_mtce	gplearn>=0.4	missing
/Users/renatosocodato/thermocausality_mtce	deap>=1.3	missing
/Users/renatosocodato/thermocausality_mtce	pysindy>=1.7	missing
/Users/renatosocodato/thermocausality_mtce	dowhy>=0.9	missing
/Users/renatosocodato/thermocausality_mtce	pyyaml	missing
/Users/renatosocodato/thermocausality_mtce	omegaconf	missing
/Users/renatosocodato/thermocausality_mtce	tqdm	missing
/Users/renatosocodato/thermocausality_mtce	wandb	missing
