metric	value
target_count	573
jsonl_recoverable_count	42
written_new_count	42
skipped_write_count	0
now_existing_count	42
still_missing_count	531

written_path	line_count
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/CLAUDE.md	80
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/EPM_MANUSCRIPT_ADDITIONS.md	166
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/EPM_PIPELINE_R_Python.md	963
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/FIGURE_LEGENDS_SUPPLEMENTARY_FINAL.md	15
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_ABSTRACT_FINAL.md	84
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_ABSTRACT_LOGICAL_FLOW_AUDIT_v21.md	50
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_ABSTRACT_PERSUASION_ARCHITECTURE_AUDIT.md	302
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_ABSTRACT_PREMIUM_SPIN_v22.md	381
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_FINAL.md	82
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_PERSUASION_v3.md	87
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_PREMIUM_SPIN_v1.md	102
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_PREMIUM_SPIN_v2.md	102
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_PRISTINE_FLOW_AUDIT_v4.md	30
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_DISCUSSION_PRISTINE_FLOW_v4.md	94
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_INTRODUCTION_FINAL.md	22
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_INTRODUCTION_PREMIUM_SPIN_v3.md	376
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_INTRODUCTION_PREMIUM_SPIN_v4.md	65
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_INTRODUCTION_v2.md	27
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_RESULTS_FINAL.md	168
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_RESULTS_FINAL_v2.md	181
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_RESULTS_PERSUASION_ARCHITECTURE_AUDIT.md	80
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_RESULTS_PERSUASION_ARCHITECTURE_v1.md	100
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/NEURON_RESULTS_PREMIUM_SPIN_v1.md	264
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/STAR_METHODS_FINAL.md	160
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/STAR_METHODS_NATIVE_POLISH_v3.md	50
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/STAR_METHODS_PERSUASION_ARCHITECTURE_v2.md	334
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/STAR_METHODS_PREMIUM_SPIN_v1.md	200
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/main/Fig5_I_contrasts.csv	20
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042a/wo042a_gene_level_omics_contrasts.csv	20
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/EPM_ANALYSIS_COMPLETE_SUMMARY.md	268
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/generate_table6_final_v3.R	50
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/layer3_gge_epm_crosscorr.R	50
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/layer7_gene_heterogeneity.R	45
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer1_epm_gene_effects.csv	50
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer2B_baseline_summary.txt	35
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer2_DISCORDANT_NOTE.txt	32
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer3_gge_epm_summary.txt	38
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer4_resilience_summary.txt	36
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer7_summary.txt	77
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer8_summary.txt	42
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042epm/outputs/layer9_summary.txt	39
/Users/renatosocodato/Desktop/CDC42_microglia_paper/phase2/consolidation_phase1+2+3+4/manuscript/source_data/phase4/wo042v_prodA/wo042v_registry_resolved.csv	30
